((54, 'wilting_point_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 1.0000000000000002)
((21, 'albedo_surface'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.043933280120366583)
((20, 'v-component_of_wind_pblri'), (30, 'downward_long_wave_rad_flux_surface'), 0.043022337899378732)
((37, 'v-component_of_wind_maximum_wind'), (38, 'geopotential_height_zerodegc_isotherm'), 0.042450781413586311)
((31, 'planetary_boundary_layer_height_surface'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.042132546847680911)
((35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), (56, 'u-component_of_wind_pblri'), 0.041981184951388452)
((20, 'v-component_of_wind_pblri'), (36, 'plant_canopy_surface_water_surface'), 0.041771336914688609)
((33, 'geopotential_height_cloud_base'), (38, 'geopotential_height_zerodegc_isotherm'), 0.040869274406097979)
((3, 'water_equiv_of_accum_snow_depth_surface'), (14, 'u-component_of_wind_tropopause'), 0.040657581361244796)
((42, 'geopotential_height_surface'), (48, 'geopotential_height_pblri'), 0.040374090447088222)
((13, 'categorical_snow_yes1_no0_surface'), (24, 'convective_inhibition_surface'), 0.039818206852989826)
((16, 'total_cloud_cover_entire_atmosphere'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.039473749361625725)
((29, 'categorical_rain_yes1_no0_surface'), (48, 'geopotential_height_pblri'), 0.039159195928447223)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (21, 'albedo_surface'), 0.037618742857089396)
((20, 'v-component_of_wind_pblri'), (21, 'albedo_surface'), 0.037389802387783597)
((31, 'planetary_boundary_layer_height_surface'), (52, 'downward_short_wave_rad_flux_surface'), 0.037000599099093499)
((23, 'ice_cover_ice1_no_ice0_surface'), (24, 'convective_inhibition_surface'), 0.036556871432186458)
((10, 'pressure_reduced_to_msl_msl'), (21, 'albedo_surface'), 0.036402013848152427)
((37, 'v-component_of_wind_maximum_wind'), (47, 'temperature_tropopause'), 0.035856982197598621)
((19, 'vegitation_type_as_in_sib_surface'), (46, 'pressure_maximum_wind'), 0.035702581339120736)
((14, 'u-component_of_wind_tropopause'), (28, 'vegetation_surface'), 0.035488359197810383)
((24, 'convective_inhibition_surface'), (56, 'u-component_of_wind_pblri'), 0.035456837098910905)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.035447788170785303)
((7, 'visibility_surface'), (11, 'upward_short_wave_rad_flux_surface'), 0.035445896289178914)
((8, 'number_of_soil_layers_in_root_zone_surface'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.035240399814336458)
((13, 'categorical_snow_yes1_no0_surface'), (14, 'u-component_of_wind_tropopause'), 0.035049439710366316)
((15, 'surface_wind_gust_surface'), (22, 'lightning_surface'), 0.034733006496825605)
((24, 'convective_inhibition_surface'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.03456197716931015)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (41, 'snow_cover_surface'), 0.034262732882171958)
((11, 'upward_short_wave_rad_flux_surface'), (24, 'convective_inhibition_surface'), 0.034211474966638483)
((3, 'water_equiv_of_accum_snow_depth_surface'), (39, 'mean_sea_level_pressure_nam_model_reduction_msl'), 0.033391229802107791)
((50, 'snow_depth_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.033213216560093128)
((47, 'temperature_tropopause'), (51, 'v-component_of_wind_tropopause'), 0.033147088843772141)
((16, 'total_cloud_cover_entire_atmosphere'), (52, 'downward_short_wave_rad_flux_surface'), 0.033068137340968355)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (12, 'relative_humidity_zerodegc_isotherm'), 0.032485859032153695)
((29, 'categorical_rain_yes1_no0_surface'), (49, 'pressure_tropopause'), 0.031172965646687967)
((20, 'v-component_of_wind_pblri'), (33, 'geopotential_height_cloud_base'), 0.030750705647614736)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (34, 'friction_velocity_surface'), 0.030680944843760036)
((28, 'vegetation_surface'), (37, 'v-component_of_wind_maximum_wind'), 0.029766215298248289)
((11, 'upward_short_wave_rad_flux_surface'), (31, 'planetary_boundary_layer_height_surface'), 0.029458084393996345)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (36, 'plant_canopy_surface_water_surface'), 0.028980894407177056)
((2, 'geopotential_height_lltw'), (42, 'geopotential_height_surface'), 0.028174161568645165)
((14, 'u-component_of_wind_tropopause'), (29, 'categorical_rain_yes1_no0_surface'), 0.028144042683080493)
((3, 'water_equiv_of_accum_snow_depth_surface'), (10, 'pressure_reduced_to_msl_msl'), 0.027023206974358231)
((14, 'u-component_of_wind_tropopause'), (42, 'geopotential_height_surface'), 0.026538262406744114)
((24, 'convective_inhibition_surface'), (29, 'categorical_rain_yes1_no0_surface'), 0.026393669553665532)
((3, 'water_equiv_of_accum_snow_depth_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.025700422337063315)
((11, 'upward_short_wave_rad_flux_surface'), (16, 'total_cloud_cover_entire_atmosphere'), 0.025422628578116328)
((24, 'convective_inhibition_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.025042010061600863)
((15, 'surface_wind_gust_surface'), (31, 'planetary_boundary_layer_height_surface'), 0.025029739764804059)
((13, 'categorical_snow_yes1_no0_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.024323237689856617)
((24, 'convective_inhibition_surface'), (52, 'downward_short_wave_rad_flux_surface'), 0.024139216224730455)
((28, 'vegetation_surface'), (51, 'v-component_of_wind_tropopause'), 0.023496410725733264)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (21, 'albedo_surface'), 0.022856319103895056)
((24, 'convective_inhibition_surface'), (25, 'pressure_surface'), 0.022393159588583383)
((29, 'categorical_rain_yes1_no0_surface'), (46, 'pressure_maximum_wind'), 0.022143609302145786)
((27, 'soil_porosity_surface'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.022020428312909797)
((18, 'land_cover_land1_sea0_surface'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.022020428312909797)
((11, 'upward_short_wave_rad_flux_surface'), (43, 'convective_available_potential_energy_surface'), 0.021956545234376488)
((21, 'albedo_surface'), (39, 'mean_sea_level_pressure_nam_model_reduction_msl'), 0.021704787943145658)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (51, 'v-component_of_wind_tropopause'), 0.021468584675965872)
((7, 'visibility_surface'), (28, 'vegetation_surface'), 0.021058607780431761)
((10, 'pressure_reduced_to_msl_msl'), (52, 'downward_short_wave_rad_flux_surface'), 0.020646307385720847)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (36, 'plant_canopy_surface_water_surface'), 0.02063588075600967)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (34, 'friction_velocity_surface'), 0.019898547644243939)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (12, 'relative_humidity_zerodegc_isotherm'), 0.019788029751446053)
((7, 'visibility_surface'), (44, 'latent_heat_net_flux_surface'), 0.019709794399512131)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (37, 'v-component_of_wind_maximum_wind'), 0.019702819932898626)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.019522871393360328)
((5, 'sensible_heat_net_flux_surface'), (7, 'visibility_surface'), 0.019503802080723349)
((15, 'surface_wind_gust_surface'), (16, 'total_cloud_cover_entire_atmosphere'), 0.019367439135695039)
((24, 'convective_inhibition_surface'), (45, 'surface_roughness_surface'), 0.019261291250091617)
((28, 'vegetation_surface'), (55, 'precipitable_water_entire_atmosphere'), 0.019257379835538397)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (14, 'u-component_of_wind_tropopause'), 0.01887431180438633)
((22, 'lightning_surface'), (56, 'u-component_of_wind_pblri'), 0.018836194643739132)
((10, 'pressure_reduced_to_msl_msl'), (42, 'geopotential_height_surface'), 0.018756696958132962)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.018142680487886635)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (51, 'v-component_of_wind_tropopause'), 0.017888846668114536)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (23, 'ice_cover_ice1_no_ice0_surface'), 0.017817528579067619)
((22, 'lightning_surface'), (52, 'downward_short_wave_rad_flux_surface'), 0.017763958283589579)
((29, 'categorical_rain_yes1_no0_surface'), (31, 'planetary_boundary_layer_height_surface'), 0.017455335277103093)
((29, 'categorical_rain_yes1_no0_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.017369719139567336)
((20, 'v-component_of_wind_pblri'), (49, 'pressure_tropopause'), 0.017047337970236456)
((48, 'geopotential_height_pblri'), (53, 'u-component_of_wind_maximum_wind'), 0.016748093797514772)
((8, 'number_of_soil_layers_in_root_zone_surface'), (9, 'categorical_freezing_rain_yes1_no0_surface'), 0.016634660829263351)
((29, 'categorical_rain_yes1_no0_surface'), (45, 'surface_roughness_surface'), 0.01651629797629052)
((3, 'water_equiv_of_accum_snow_depth_surface'), (20, 'v-component_of_wind_pblri'), 0.016439145809958165)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (37, 'v-component_of_wind_maximum_wind'), 0.016389104775807753)
((42, 'geopotential_height_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.016366312220625977)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (18, 'land_cover_land1_sea0_surface'), 0.016328348528100212)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (27, 'soil_porosity_surface'), 0.016328348528100212)
((31, 'planetary_boundary_layer_height_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.016308562252461464)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (15, 'surface_wind_gust_surface'), 0.015818929963311336)
((44, 'latent_heat_net_flux_surface'), (55, 'precipitable_water_entire_atmosphere'), 0.015789716537145258)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (26, 'transpiration_stress-onset_soil_moisture_surface'), 0.015780503853744764)
((37, 'v-component_of_wind_maximum_wind'), (43, 'convective_available_potential_energy_surface'), 0.015396520740504564)
((16, 'total_cloud_cover_entire_atmosphere'), (29, 'categorical_rain_yes1_no0_surface'), 0.0153886174071526)
((3, 'water_equiv_of_accum_snow_depth_surface'), (9, 'categorical_freezing_rain_yes1_no0_surface'), 0.015315407422057496)
((5, 'sensible_heat_net_flux_surface'), (55, 'precipitable_water_entire_atmosphere'), 0.015287940743226801)
((22, 'lightning_surface'), (24, 'convective_inhibition_surface'), 0.014862996065016471)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (8, 'number_of_soil_layers_in_root_zone_surface'), 0.014774405666457702)
((14, 'u-component_of_wind_tropopause'), (31, 'planetary_boundary_layer_height_surface'), 0.014672821238336362)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (27, 'soil_porosity_surface'), 0.014620711827080274)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (18, 'land_cover_land1_sea0_surface'), 0.014620711827080274)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (26, 'transpiration_stress-onset_soil_moisture_surface'), 0.014558282158695918)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (14, 'u-component_of_wind_tropopause'), 0.01448982874603353)
((2, 'geopotential_height_lltw'), (44, 'latent_heat_net_flux_surface'), 0.013759843011631998)
((20, 'v-component_of_wind_pblri'), (47, 'temperature_tropopause'), 0.013695935125671172)
((16, 'total_cloud_cover_entire_atmosphere'), (53, 'u-component_of_wind_maximum_wind'), 0.01345539122236067)
((2, 'geopotential_height_lltw'), (5, 'sensible_heat_net_flux_surface'), 0.013412756819959931)
((42, 'geopotential_height_surface'), (52, 'downward_short_wave_rad_flux_surface'), 0.013352194605574243)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.013102946253022734)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (54, 'wilting_point_surface'), 0.013102946253022734)
((28, 'vegetation_surface'), (30, 'downward_long_wave_rad_flux_surface'), 0.013032046951608684)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (19, 'vegitation_type_as_in_sib_surface'), 0.013003640176187289)
((24, 'convective_inhibition_surface'), (43, 'convective_available_potential_energy_surface'), 0.012620669587937016)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.012593003859856988)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (54, 'wilting_point_surface'), 0.012593003859856988)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (50, 'snow_depth_surface'), 0.012312692095553884)
((40, 'temperature_surface'), (44, 'latent_heat_net_flux_surface'), 0.01225530109865431)
((43, 'convective_available_potential_energy_surface'), (51, 'v-component_of_wind_tropopause'), 0.012238909902354014)
((23, 'ice_cover_ice1_no_ice0_surface'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.012221329292269491)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.012167005919916875)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (15, 'surface_wind_gust_surface'), 0.012113268702719336)
((31, 'planetary_boundary_layer_height_surface'), (48, 'geopotential_height_pblri'), 0.012052028921063001)
((14, 'u-component_of_wind_tropopause'), (46, 'pressure_maximum_wind'), 0.011985894616729)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (45, 'surface_roughness_surface'), 0.011932028982176315)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (49, 'pressure_tropopause'), 0.011919138834581759)
((14, 'u-component_of_wind_tropopause'), (16, 'total_cloud_cover_entire_atmosphere'), 0.011867974484743698)
((5, 'sensible_heat_net_flux_surface'), (40, 'temperature_surface'), 0.011762387906040552)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (47, 'temperature_tropopause'), 0.011598202726100317)
((22, 'lightning_surface'), (31, 'planetary_boundary_layer_height_surface'), 0.011565540949543552)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (45, 'surface_roughness_surface'), 0.011460202212403982)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (19, 'vegitation_type_as_in_sib_surface'), 0.011125332391392823)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (32, 'soil_type_as_in_zobler_surface'), 0.01096391789659988)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (32, 'soil_type_as_in_zobler_surface'), 0.010672858069047768)
((48, 'geopotential_height_pblri'), (55, 'precipitable_water_entire_atmosphere'), 0.010293304113481037)
((10, 'pressure_reduced_to_msl_msl'), (45, 'surface_roughness_surface'), 0.010121022085836743)
((16, 'total_cloud_cover_entire_atmosphere'), (41, 'snow_cover_surface'), 0.0099442710314059154)
((31, 'planetary_boundary_layer_height_surface'), (49, 'pressure_tropopause'), 0.0095848952532004306)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (33, 'geopotential_height_cloud_base'), 0.0094831737472608445)
((29, 'categorical_rain_yes1_no0_surface'), (56, 'u-component_of_wind_pblri'), 0.0094340309440164791)
((16, 'total_cloud_cover_entire_atmosphere'), (22, 'lightning_surface'), 0.009409497402030946)
((13, 'categorical_snow_yes1_no0_surface'), (31, 'planetary_boundary_layer_height_surface'), 0.0091835823007552445)
((28, 'vegetation_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.0091669624205905544)
((11, 'upward_short_wave_rad_flux_surface'), (22, 'lightning_surface'), 0.0088276665381925284)
((16, 'total_cloud_cover_entire_atmosphere'), (49, 'pressure_tropopause'), 0.0088248944343592099)
((23, 'ice_cover_ice1_no_ice0_surface'), (50, 'snow_depth_surface'), 0.0086023606613926974)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (20, 'v-component_of_wind_pblri'), 0.0085135227832694796)
((39, 'mean_sea_level_pressure_nam_model_reduction_msl'), (52, 'downward_short_wave_rad_flux_surface'), 0.0084515865073007835)
((29, 'categorical_rain_yes1_no0_surface'), (42, 'geopotential_height_surface'), 0.0083756079272610598)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (50, 'snow_depth_surface'), 0.0082999937875807162)
((13, 'categorical_snow_yes1_no0_surface'), (16, 'total_cloud_cover_entire_atmosphere'), 0.008295636948346204)
((31, 'planetary_boundary_layer_height_surface'), (41, 'snow_cover_surface'), 0.0081430404044612638)
((31, 'planetary_boundary_layer_height_surface'), (56, 'u-component_of_wind_pblri'), 0.008141039450024725)
((3, 'water_equiv_of_accum_snow_depth_surface'), (23, 'ice_cover_ice1_no_ice0_surface'), 0.0080505936903934629)
((16, 'total_cloud_cover_entire_atmosphere'), (50, 'snow_depth_surface'), 0.0078798576494361113)
((16, 'total_cloud_cover_entire_atmosphere'), (21, 'albedo_surface'), 0.0077731101924293153)
((46, 'pressure_maximum_wind'), (48, 'geopotential_height_pblri'), 0.0077636184217843261)
((20, 'v-component_of_wind_pblri'), (50, 'snow_depth_surface'), 0.0071614102087424435)
((10, 'pressure_reduced_to_msl_msl'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.0071163963871314941)
((10, 'pressure_reduced_to_msl_msl'), (54, 'wilting_point_surface'), 0.0071163963871314941)
((3, 'water_equiv_of_accum_snow_depth_surface'), (16, 'total_cloud_cover_entire_atmosphere'), 0.0070983864106007799)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (47, 'temperature_tropopause'), 0.0069788745273857995)
((35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), (54, 'wilting_point_surface'), 0.0066908279825476256)
((35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.0066908279825476256)
((10, 'pressure_reduced_to_msl_msl'), (44, 'latent_heat_net_flux_surface'), 0.0066486750745206697)
((5, 'sensible_heat_net_flux_surface'), (10, 'pressure_reduced_to_msl_msl'), 0.0066344993334461339)
((42, 'geopotential_height_surface'), (46, 'pressure_maximum_wind'), 0.006598497379960858)
((4, 'drag_coefficient_surface'), (28, 'vegetation_surface'), 0.00659243779831091)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (24, 'convective_inhibition_surface'), 0.0065600534485469189)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (33, 'geopotential_height_cloud_base'), 0.0065330879440040389)
((16, 'total_cloud_cover_entire_atmosphere'), (23, 'ice_cover_ice1_no_ice0_surface'), 0.0065023098541464788)
((39, 'mean_sea_level_pressure_nam_model_reduction_msl'), (44, 'latent_heat_net_flux_surface'), 0.0064921675498714627)
((5, 'sensible_heat_net_flux_surface'), (39, 'mean_sea_level_pressure_nam_model_reduction_msl'), 0.0064425194784716545)
((21, 'albedo_surface'), (31, 'planetary_boundary_layer_height_surface'), 0.006272861421429487)
((32, 'soil_type_as_in_zobler_surface'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.006260376092372167)
((31, 'planetary_boundary_layer_height_surface'), (50, 'snow_depth_surface'), 0.0062116631979652033)
((31, 'planetary_boundary_layer_height_surface'), (47, 'temperature_tropopause'), 0.0059106473840266757)
((3, 'water_equiv_of_accum_snow_depth_surface'), (31, 'planetary_boundary_layer_height_surface'), 0.0058600696299190101)
((3, 'water_equiv_of_accum_snow_depth_surface'), (6, 'categorical_ice_pellets_yes1_no0_surface'), 0.005721252928384938)
((16, 'total_cloud_cover_entire_atmosphere'), (56, 'u-component_of_wind_pblri'), 0.0054724197449018686)
((4, 'drag_coefficient_surface'), (45, 'surface_roughness_surface'), 0.0054367314918984501)
((5, 'sensible_heat_net_flux_surface'), (28, 'vegetation_surface'), 0.0053575547269337654)
((28, 'vegetation_surface'), (44, 'latent_heat_net_flux_surface'), 0.0050760047734918559)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (46, 'pressure_maximum_wind'), 0.0049765268057550133)
((24, 'convective_inhibition_surface'), (36, 'plant_canopy_surface_water_surface'), 0.0049105455134787774)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (49, 'pressure_tropopause'), 0.0048689903074755504)
((4, 'drag_coefficient_surface'), (8, 'number_of_soil_layers_in_root_zone_surface'), 0.0046624752248930661)
((23, 'ice_cover_ice1_no_ice0_surface'), (31, 'planetary_boundary_layer_height_surface'), 0.0046424177684190934)
((11, 'upward_short_wave_rad_flux_surface'), (36, 'plant_canopy_surface_water_surface'), 0.0044925608764480865)
((5, 'sensible_heat_net_flux_surface'), (20, 'v-component_of_wind_pblri'), 0.0044264058627115034)
((4, 'drag_coefficient_surface'), (11, 'upward_short_wave_rad_flux_surface'), 0.0044023073131765483)
((14, 'u-component_of_wind_tropopause'), (48, 'geopotential_height_pblri'), 0.004399651416610262)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (24, 'convective_inhibition_surface'), 0.004296363998088689)
((4, 'drag_coefficient_surface'), (52, 'downward_short_wave_rad_flux_surface'), 0.0042773414455229176)
((16, 'total_cloud_cover_entire_atmosphere'), (47, 'temperature_tropopause'), 0.0042766910752087871)
((20, 'v-component_of_wind_pblri'), (44, 'latent_heat_net_flux_surface'), 0.0042392671104753542)
((4, 'drag_coefficient_surface'), (18, 'land_cover_land1_sea0_surface'), 0.0041280882720195365)
((4, 'drag_coefficient_surface'), (27, 'soil_porosity_surface'), 0.0041280882720195365)
((39, 'mean_sea_level_pressure_nam_model_reduction_msl'), (45, 'surface_roughness_surface'), 0.0040747866974971481)
((4, 'drag_coefficient_surface'), (26, 'transpiration_stress-onset_soil_moisture_surface'), 0.0040263309764143615)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (42, 'geopotential_height_surface'), 0.0040096641314378619)
((29, 'categorical_rain_yes1_no0_surface'), (43, 'convective_available_potential_energy_surface'), 0.0039701511738541523)
((31, 'planetary_boundary_layer_height_surface'), (46, 'pressure_maximum_wind'), 0.0038600415984258174)
((15, 'surface_wind_gust_surface'), (55, 'precipitable_water_entire_atmosphere'), 0.0036158812588723429)
((4, 'drag_coefficient_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.0033950120733455993)
((4, 'drag_coefficient_surface'), (54, 'wilting_point_surface'), 0.0033950120733455993)
((24, 'convective_inhibition_surface'), (33, 'geopotential_height_cloud_base'), 0.0033238761902099818)
((31, 'planetary_boundary_layer_height_surface'), (42, 'geopotential_height_surface'), 0.0032073814181154013)
((13, 'categorical_snow_yes1_no0_surface'), (22, 'lightning_surface'), 0.0031598215981689225)
((4, 'drag_coefficient_surface'), (17, 'upward_long_wave_rad_flux_surface'), 0.0031433378620963513)
((44, 'latent_heat_net_flux_surface'), (48, 'geopotential_height_pblri'), 0.0029142308390116903)
((16, 'total_cloud_cover_entire_atmosphere'), (46, 'pressure_maximum_wind'), 0.0028145455855435888)
((8, 'number_of_soil_layers_in_root_zone_surface'), (31, 'planetary_boundary_layer_height_surface'), 0.0027585296692168595)
((22, 'lightning_surface'), (45, 'surface_roughness_surface'), 0.0027441588082202329)
((27, 'soil_porosity_surface'), (31, 'planetary_boundary_layer_height_surface'), 0.0026995936509439894)
((18, 'land_cover_land1_sea0_surface'), (31, 'planetary_boundary_layer_height_surface'), 0.0026995936509439894)
((5, 'sensible_heat_net_flux_surface'), (48, 'geopotential_height_pblri'), 0.0026974360406295237)
((4, 'drag_coefficient_surface'), (32, 'soil_type_as_in_zobler_surface'), 0.0026950019723386101)
((4, 'drag_coefficient_surface'), (48, 'geopotential_height_pblri'), 0.0026890028865596753)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (31, 'planetary_boundary_layer_height_surface'), 0.0025516417476475562)
((4, 'drag_coefficient_surface'), (40, 'temperature_surface'), 0.0025112199769364795)
((4, 'drag_coefficient_surface'), (42, 'geopotential_height_surface'), 0.0023673723274194648)
((10, 'pressure_reduced_to_msl_msl'), (26, 'transpiration_stress-onset_soil_moisture_surface'), 0.0023601630905755585)
((48, 'geopotential_height_pblri'), (51, 'v-component_of_wind_tropopause'), 0.0022436907786310082)
((31, 'planetary_boundary_layer_height_surface'), (45, 'surface_roughness_surface'), 0.0021490182956601647)
((31, 'planetary_boundary_layer_height_surface'), (32, 'soil_type_as_in_zobler_surface'), 0.0021004207681684238)
((31, 'planetary_boundary_layer_height_surface'), (54, 'wilting_point_surface'), 0.0020175591586547833)
((31, 'planetary_boundary_layer_height_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.0020175591586547833)
((4, 'drag_coefficient_surface'), (34, 'friction_velocity_surface'), 0.0019331894814750025)
((5, 'sensible_heat_net_flux_surface'), (51, 'v-component_of_wind_tropopause'), 0.0017803862652371466)
((44, 'latent_heat_net_flux_surface'), (51, 'v-component_of_wind_tropopause'), 0.0017726144647397346)
((25, 'pressure_surface'), (44, 'latent_heat_net_flux_surface'), 0.0016861932699221178)
((37, 'v-component_of_wind_maximum_wind'), (48, 'geopotential_height_pblri'), 0.001547037796212616)
((24, 'convective_inhibition_surface'), (31, 'planetary_boundary_layer_height_surface'), 0.00147263246506514)
((11, 'upward_short_wave_rad_flux_surface'), (20, 'v-component_of_wind_pblri'), 0.0014683719565488078)
((2, 'geopotential_height_lltw'), (4, 'drag_coefficient_surface'), 0.0013908599154518638)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (31, 'planetary_boundary_layer_height_surface'), 0.0013639529750776663)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (42, 'geopotential_height_surface'), 0.0013525898037954039)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (16, 'total_cloud_cover_entire_atmosphere'), 0.0012936582042664695)
((19, 'vegitation_type_as_in_sib_surface'), (31, 'planetary_boundary_layer_height_surface'), 0.0012916012170031638)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (31, 'planetary_boundary_layer_height_surface'), 0.0012693454963666495)
((5, 'sensible_heat_net_flux_surface'), (25, 'pressure_surface'), 0.0011783614337753309)
((4, 'drag_coefficient_surface'), (19, 'vegitation_type_as_in_sib_surface'), 0.0011121062895015008)
((4, 'drag_coefficient_surface'), (38, 'geopotential_height_zerodegc_isotherm'), 0.0010965901106330304)
((28, 'vegetation_surface'), (49, 'pressure_tropopause'), 0.0010890389648389905)
((5, 'sensible_heat_net_flux_surface'), (37, 'v-component_of_wind_maximum_wind'), 0.0010728798658697282)
((37, 'v-component_of_wind_maximum_wind'), (44, 'latent_heat_net_flux_surface'), 0.0010654147479268029)
((35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), (42, 'geopotential_height_surface'), 0.00095354506078731461)
((22, 'lightning_surface'), (32, 'soil_type_as_in_zobler_surface'), 0.00094296242449366189)
((6, 'categorical_ice_pellets_yes1_no0_surface'), (16, 'total_cloud_cover_entire_atmosphere'), 0.00086305909914190975)
((4, 'drag_coefficient_surface'), (22, 'lightning_surface'), 0.00059986377580782408)
((16, 'total_cloud_cover_entire_atmosphere'), (45, 'surface_roughness_surface'), 0.00057005912053587234)
((4, 'drag_coefficient_surface'), (30, 'downward_long_wave_rad_flux_surface'), 0.00055500455919240755)
((4, 'drag_coefficient_surface'), (7, 'visibility_surface'), 0.00053884813715526065)
((8, 'number_of_soil_layers_in_root_zone_surface'), (16, 'total_cloud_cover_entire_atmosphere'), 0.00053387273563054185)
((43, 'convective_available_potential_energy_surface'), (44, 'latent_heat_net_flux_surface'), 0.0005121225519263468)
((16, 'total_cloud_cover_entire_atmosphere'), (27, 'soil_porosity_surface'), 0.00050559922235025639)
((16, 'total_cloud_cover_entire_atmosphere'), (18, 'land_cover_land1_sea0_surface'), 0.00050559922235025639)
((4, 'drag_coefficient_surface'), (21, 'albedo_surface'), 0.00050349109887655246)
((25, 'pressure_surface'), (51, 'v-component_of_wind_tropopause'), 0.00049789138043897132)
